Datetime,dM_0030_0044,dM_0044_0075,dM_0075_0100,dM_0100_0120,dM_0120_0140,dM_0140_0200,dM_0200_0250,dM_0250_0500,dM_0500_0750,dM_0750_1000,dM_x1,dM_x2,dM_x3,dM_x4,dM_x5,dM_x6,dM_1000_x,dN_0030_0044,dN_0044_0075,dN_0075_0100,dN_0100_0120,dN_0120_0140,dN_0140_0200,dN_0200_0250,dN_0250_0500,dN_0500_0750,dN_0750_1000,dN_x1,dN_x2,dN_x3,dN_x4,dN_x5,dN_x6,dN_1000_x,dC_T,dN_T,dM_T,averageAirTemp,averageRelativeHumidity,averageAirPressure,averageSeaLevelPressure,averageWindDirection,maxWindSpeed,averageWindSpeed,rainIntensity,PM10_Krk_AlKr,PM10_Krk_Buja,PM10_Krk_Bulw,PM10_Krk_Diet,PM10_Krk_osPi,PM10_Krk_Swo,PM10_Krk_osWa,PM10_Krk_ZlRo,PM25_Krk_AlKr,PM25_Krk_Bulw
10-Feb-2022 13:00:00,1.03561162079511,0.72132693911593,0.25389824854045,0.121517097581318,0.13903836530442,0.834673894912427,0.805510981373366,8.34529107589659,5.36672504865165,5.66660828468168,0,0,0,0,0,0,0,37.6986230191827,6.12440450375313,0.709424520433696,0.173053099805394,0.120100917431192,0.314667500695025,0.133449819293856,0.272032527105923,0.0403063664164581,0.0157825966082847,0,0,0,0,0,0,0,755.948568251321,45.6011239922157,23.2901153739227,10.86,45.971666666667,991.52666666667,1016.3616666667,250,3.8,2.0766666666667,0,75.1,13.3,24.9,17,17.6,10.1,15.3,17.8,18.5,10.1
10-Feb-2022 14:00:00,1.17544731720879,0.860992215735335,0.345398387545178,0.182487906588824,0.222414234083958,1.42301556852933,1.45674895746456,16.0140561579094,10.5432276897415,11.0563452877398,0,0,0,0,0,0,0,42.7883641923825,7.31030386433139,0.964990269669168,0.259715874339728,0.192125382262997,0.536465943842092,0.241262718932444,0.521983875451767,0.0792299138170698,0.0308045593550179,0,0,0,0,0,0,0,876.634139560745,52.9254334167362,43.2801123158187,11,47.156666666667,991.10333333333,1015.9033333333,267,3.8,1.75,0,50.2,14.5,21.9,14.5,18.8,9.3,11.8,16.6,13.7,9.5
10-Feb-2022 15:00:00,1.28586902113459,0.906906006674083,0.396801167964407,0.219141268075639,0.275552280311456,1.8188818131257,1.97343882091214,21.9054151835373,13.8958448275862,14.8279126807564,0,0,0,0,0,0,0,46.8080964961068,7.70012958843158,1.10860344827586,0.311876529477198,0.238049499443828,0.685701890989989,0.326848442714128,0.714001668520579,0.104443548387097,0.0413186874304783,0,0,0,0,0,0,0,960.254727474972,58.0393097886541,57.505709955506,10.143333333333,49.77,990.73166666667,1015.6316666667,254,3.1,1.6966666666667,0,75.8,21.5,25.1,22.1,20,11.7,17.7,19.3,17.6,11
10-Feb-2022 16:00:00,1.49290130664442,1.03881679177092,0.330989713650262,0.163666110647762,0.201202390881288,1.24916597164304,1.29145732554907,14.848798999166,10.102443147067,10.9196914095079,0,0,0,0,0,0,0,54.3440856269114,8.82015401723659,0.924717542396443,0.232935501807061,0.173768418126216,0.470940505977204,0.213884070058382,0.484009452321379,0.0759179872115655,0.0304525993883791,0,0,0,0,0,0,0,1087.82262996942,65.7710266889074,41.6390464275785,9.0916666666667,51.946666666667,990.12333333333,1015.105,212,2.2,1.47,0,98.6,20.2,33.3,23.5,28.9,9.8,32.6,24.5,21.5,11.3
10-Feb-2022 17:00:00,2.21860856269113,1.60796274673339,0.403656380316931,0.184707534056158,0.222858771198221,1.40215318320823,1.50700556018905,17.2061567973311,11.5272382541006,11.776163469558,0,0,0,0,0,0,0,80.7614317486795,13.6524523213789,1.12774395329441,0.26283958854601,0.192640255768696,0.528612732832917,0.24961440088963,0.560838476508202,0.0867636919655273,0.0329772032249096,0,0,0,0,0,0,0,1606.06866833472,97.455734500973,48.0565243258271,8.5266666666667,53.018333333333,989.75833333333,1014.7583333333,232,3.4,1.715,0,74.4,37,22.9,28.7,21.7,8.7,33.4,20,19.5,10.6
10-Feb-2022 18:00:00,2.72624437030859,2.15563969974979,0.524991103697525,0.234312760633862,0.283112037809285,1.76744147901028,1.95627383931054,21.2736752849597,12.9825618571031,12.242259382819,0,0,0,0,0,0,0,99.2407792604949,18.3025321100917,1.46676925215457,0.33346927995552,0.24465610230748,0.666326383097026,0.324013622463165,0.693412288017794,0.097674728940785,0.0342457603558521,0,0,0,0,0,0,0,1994.3597442313,121.4037970531,56.1465134834584,8.5566666666667,52.865,989.97166666667,1014.9716666667,265,2.9,1.6,0,83.7,33.9,29.8,31.5,29.8,15.9,29.9,26.1,24,12.1
10-Feb-2022 19:00:00,4.20144231303865,3.76569780372533,0.703292743953294,0.240496524881846,0.256296914095078,1.48814817903808,1.55182123992216,16.4549402279677,9.23116430358633,8.10057408951904,0,0,0,0,0,0,0,152.940408117876,31.9727439532944,1.96488796219071,0.342278565471227,0.221440366972478,0.561017236586044,0.257010008340284,0.536336669446762,0.069386989157631,0.0226010564359189,0,0,0,0,0,0,0,3078.16096747289,188.888240200167,45.9938345843759,8.1883333333333,54.765,990.10833333333,1015.155,263,2.6,1.035,0,95.8,45.1,31.6,23.5,31.6,28.1,38.4,40.3,28.5,16.6
10-Feb-2022 20:00:00,5.02370781206561,4.52935585209897,0.834138448707256,0.271380038921323,0.279984987489572,1.60697998331944,1.66369530164026,17.9470956352516,10.3187561857103,8.86631915485127,0,0,0,0,0,0,0,182.872623019183,38.4567064220183,2.33044425910481,0.386202946900195,0.241976091187101,0.605824854045038,0.275557686961357,0.58498804559355,0.0776424798443144,0.0248095635251599,0,0,0,0,0,0,0,3665.91465109814,225.856701695858,51.34143147067,7.3533333333333,58.28,990.20333333333,1015.3183333333,288,1.9,1.205,0,86.3,35,42.6,24,40.8,19,29.1,46.9,34.3,22.6
10-Feb-2022 21:00:00,3.69399304976369,3.47009952738393,0.715221017514596,0.224234361968307,0.212524325827077,1.08633055323881,1.04419266055047,10.6317956630525,5.75269391159299,4.8267370030581,0,0,0,0,0,0,0,134.467885182096,29.4629980539338,1.99820767306088,0.319120934111762,0.183652210175148,0.409588546010566,0.172941618015015,0.346579649708092,0.0432440922991381,0.0134770642201835,0,0,0,0,0,0,0,2733.47428412566,167.417608562691,31.657784264665,8.0033333333333,55.128333333333,990.14833333333,1015.1933333333,271,4.1,1.895,0,99.8,35.9,48.9,39.9,39.1,16.2,34.1,49,40.5,25.4
10-Feb-2022 22:00:00,2.275784264665,2.12893577981651,0.531531832082295,0.169906032805114,0.1617306088407,0.794977203224907,0.565653044203502,4.92846649986098,2.67490575479566,2.73919905476786,0,0,0,0,0,0,0,82.8424220183486,18.0758001112038,1.48503864331387,0.241810397553517,0.13985265499027,0.299700305810397,0.0937606338615519,0.160679733110926,0.02017125382263,0.00767917709202112,0,0,0,0,0,0,0,1701.57464553795,103.366681679177,16.9711481790381,8.5066666666667,53.778333333333,990.405,1015.405,253,3.2,1.8633333333333,0,66.2,31.4,43.9,25.1,34.2,18.5,31.7,38.1,29.4,30.9
